Actual,Forecast
338.303344726562,356.76090919443567
326.323333740234,357.08730069417777
331.809997558594,356.45968943618936
299.526672363281,356.7003853752013
299.993347167969,356.41576757041565
300.75,356.56039485382496
286.92333984375,356.4247790677466
301.059997558594,356.5051510367039
301.313323974609,356.43841850383603
313.006652832031,356.48149046276615
295.666656494141,356.4480034450536
278.816680908203,356.4706663088206
273.103332519531,356.45366871719324
265.0,356.46547833363167
233.66667175293,356.45679408138733
257.82666015625,356.46291612466507
255.720001220703,356.45846294367436
249.119995117188,356.4616275974973
248.17333984375,356.4593393846137
235.66667175293,356.4609727437449
237.996673583984,356.4597956378504
218.339996337891,356.4606379371438
217.843338012695,356.46003202779804
207.949996948242,356.4604661849903
220.473327636719,356.46015418776136
241.08332824707,356.46037791300245
257.946655273438,356.4602172272977
251.720001220703,356.4603324985109
244.156661987305,356.46024973291964
243.226669311523,356.460309120068
244.353332519531,356.4602664868765
234.0,356.4602970815036
240.086669921875,356.460275120109
249.339996337891,356.4602908812413
235.156661987305,356.46027956819034
223.16667175293,356.4602876875897
218.286666870117,356.46028185980026
220.91667175293,356.460286042505
222.736663818359,356.4602830403693
213.433334350586,356.46028519507894
224.603332519531,356.4602836485498
234.503326416016,356.4602847585405
237.906661987305,356.4602839618556
237.470001220703,356.4602845336625
249.366668701172,356.46028412325484
244.483337402344,356.46028441781846
230.5,356.4602842063992
224.509994506836,356.4602843581422
227.0,356.46028424923065
223.0,356.4602843274003
230.779998779297,356.4602842712951
233.919998168945,356.46028431156384
242.33332824707,356.4602842826615
252.103332519531,356.46028430340573
236.846664428711,356.46028428851685
225.5,356.4602842992031
234.896667480469,356.4602842915332
240.0,356.4602842970382
244.936660766602,356.46028429308706
245.0,356.4602842959229
246.783340454102,356.4602842938875
255.106674194336,356.4602842953484
276.220001220703,356.46028429429987
272.216674804688,356.4602842950524
266.513336181641,356.4602842945123
263.809997558594,356.46028429489996
280.066680908203,356.4602842946217
280.700012207031,356.4602842948214
301.276672363281,356.46028429467805
294.003326416016,356.46028429478093
305.0,356.4602842947071
311.0,356.4602842947601
302.670013427734,356.46028429472204
295.0,356.46028429474933
290.293334960938,356.4602842947297
297.066680908203,356.46028429474376
296.513336181641,356.46028429473364
289.416656494141,356.46028429474086
301.786682128906,356.4602842947357
311.666656494141,356.46028429473944
303.396667480469,356.46028429473677
